id,user_login,license,image_url,scientific_name,common_name
25844958,chendada,CC0,https://static.inaturalist.org/photos/40074342/medium.jpg,Macaranga tanarius,血桐
26583343,chendada,CC-BY,https://static.inaturalist.org/photos/41288188/medium.jpg,Geisha mariginellus,小青蛾蠟蟬
26583384,chendada,CC-BY-NC,https://static.inaturalist.org/photos/41288255/medium.jpg,Cleome rutidosperma,平伏莖白花菜
26651731,chendada,CC-BY-NC-SA,https://static.inaturalist.org/photos/41396818/medium.jpg,Paederia foetida,雞屎藤
49108382,chendada,CC-BY-NC-ND,https://static.inaturalist.org/photos/77950590/medium.jpg,Cleome rutidosperma,平伏莖白花菜
54227457,chendada,CC-BY-ND,https://static.inaturalist.org/photos/86276454/medium.jpg,Bidens alba,大花咸豐草
54227492,chendada,CC-BY-NC,https://static.inaturalist.org/photos/86276505/medium.jpg,Ficus microcarpa,榕樹
54227504,chendada,CC-BY-SA,https://static.inaturalist.org/photos/86276526/medium.jpg,Macaranga tanarius,血桐
54227536,chendada,CC-BY,https://static.inaturalist.org/photos/86276612/medium.jpg,Ipomoea obscura,野牽牛
54227568,chendada,CC-BY,https://static.inaturalist.org/photos/86276682/medium.jpg,Megathyrsus maximus,大黍
54228479,chendada,,https://static.inaturalist.org/photos/86278166/medium.jpg,Broussonetia papyrifera,構樹
54337351,chendada,,https://static.inaturalist.org/photos/86455817/medium.jpg,Bischofia javanica,茄冬
69450212,chendada,,https://static.inaturalist.org/photos/112688250/medium.jpg,Gorsachius melanolophus,黑冠麻鷺
